
"Jackson St.",92.788800837464,109.74704291297,0.12671740134293,12–9,12,21,46.6,49.4,49.8,38.8,21.2,22.5,34.4,33.4,71.6,45.3,46.8,33.7,37.3,9.8,10.8,49.6,50.6,25.6,28.9,71.2,,,,2008,,,,-8.2577370514038,68.3,62.6
Mississippi,111.84558355729,101.66361048271,0.74982373200457,9–10,9,19,50.3,50.7,29.5,34.5,18.3,17.9,38.3,32.6,69.3,48.8,49.5,35.6,35.1,8.9,11.2,50.6,55.8,31.8,37.1,68.8,,,,2008,,,,-2.7632600706344,65.1,67.1
"San Diego",100.09011695891,93.319806986147,0.69113770677393,14–4,14,18,51.3,47.1,34.8,31.8,19.4,22.6,30.9,29.2,66,50,48.7,36.4,28.9,9.1,10.5,56.7,48.2,27.1,28.7,64.8,,,,2008,,,,0.44991953456968,62.6,63.7
Albany,103.53325089266,106.99908288292,0.40644879508075,10–8,10,18,49.3,49.9,40.7,39.4,20.1,19.5,36.9,26.1,64.2,47,45.8,36.7,38,9.5,8.8,53.1,54.9,28.8,36.9,64.7,,,,2008,,,,-6.1998639568177,74.6,72
Wyoming,99.747123864627,101.1448949969,0.46007703872667,6–12,6,18,47.8,48.7,40.7,34.9,22.7,15.8,28.2,28.3,68.4,49.4,47.4,29.8,34.1,11.4,11,56.5,53.3,34.6,34.5,70,,,,2008,,,,-6.2147296563228,73.9,68.4
"UC Santa Barbara",101.58238476851,99.503214733104,0.55917688951092,12–6,12,18,53,51,38.2,44.1,20,25.9,27.5,32,65,49.2,51.2,40,33.8,6.5,7.9,62.9,53.5,35.8,36.5,65.2,,,,2008,,,,-3.207158283003,73.9,70
Minnesota,107.30040374606,96.362953373634,0.77493183106444,10–11,10,21,48.8,50.5,37.3,42.5,21.7,23.1,34,34.5,63.8,45.2,49.2,36.9,35,10.3,12,63.6,60.8,35.5,38.6,66.1,,,,2008,,,,-1.1700268536373,67.8,70.7
Illinois,107.31202735741,93.230973147611,0.83446366531348,8–14,8,22,49.5,47.6,36.8,40.3,22.2,19.7,35.2,29.8,60.9,48.8,44.2,33.9,35.6,8.1,9.5,61.4,54.2,33.9,37.1,62.3,,,,2008,,,,-2.9763213206024,62,71.3
"Alcorn St.",93.016029498732,116.31361544345,0.071063912711162,6–12,6,18,47.8,52.2,41.6,48.4,22.8,21.3,34,31,70,45.1,51.6,36.4,35.8,3.8,8.8,36.8,41.4,28,26.8,69.1,,,,2008,,,,-11.368300806836,71.9,66.1
LIU,98.130987765989,105.5757320149,0.30133655324948,6–11,6,17,43.8,50.2,38.3,29.2,17.8,20.7,36.5,31.1,71.3,43.7,50.7,29.2,32.8,7.5,9.9,40.6,57.4,34.1,32.7,70.7,,,,2008,,,,-9.2463887757371,70.3,72.6
"Arkansas Pine Bluff",88.611316570962,110.52915299168,0.072984243405425,9–11,9,20,45.9,46.1,32.9,38.1,19.8,19.7,29.9,31.5,63.7,44.9,44.3,32.1,33.9,14.4,8.4,49.4,45,30.9,28.4,62.3,,,,2008,,,,-10.32177697873,64.4,72.2
"Portland St.",108.87691284288,101.23161296752,0.69789194285167,16–2,16,18,56.3,47.8,43.2,37.9,20.1,21.5,35.4,29.2,69.3,53.1,47.7,40.6,31.9,11.2,6.5,62.6,54.2,40.8,33.5,69.5,,,,2008,,,,0.034151595086141,69.2,73.1
UTEP,103.39302204422,97.207025870726,0.67028769785056,10–11,10,21,48.1,49.4,46.4,48.3,17.4,21.6,28,30.2,73.1,47.7,47.5,32.7,35,7.4,7.8,52,60.7,31.4,37.7,72.9,,,,2008,,,,-4.0075959698135,65.2,69.7
Indiana,113.94583209632,95.409111541632,0.88511791313991,14–6,14,20,50.4,48.2,39.3,30.7,19.9,17.6,33.6,29.3,64.8,50.9,45.9,33,34.6,9.1,8.8,52.7,58.5,37.3,38.4,67.2,,,,2008,,,,3.0675837429987,77,65.6
"Loyola Chicago",99.575950714715,100.86571040846,0.46306798944408,7–12,7,19,44.8,49.8,29.8,36,18.7,21,32.4,32.9,60.4,45.7,46.4,28.6,37.1,8.7,8.5,46,57.2,30.3,37,61.9,,,,2008,,,,-6.9268962565166,70.5,72.4
Bucknell,96.159965755671,104.02823781316,0.28813348591372,7–12,7,19,50.3,49.3,40.9,45.2,24.1,20.7,29.6,32.2,63.1,48.3,49.8,35.6,32.3,5.8,9.4,60.5,57.7,38.5,39.4,63.5,,,,2008,,,,-9.0135457870463,68.5,72.6
"Central Michigan",101.5693156643,105.74526956774,0.38619058896579,9–10,9,19,48.7,50.7,38.3,64.1,21.5,23.4,34.6,34.6,67.8,46.7,50.6,34.5,33.9,7.2,10.8,42.7,46.3,39.6,25,68.7,,,,2008,,,,-5.8341205229969,68,71.2
