"","team_id","team_name"
"1",235,"Memphis"
"2",153,"North Carolina"
"3",202,"Tulsa"
"4",194,"Ohio State"
"5",71,"Bradley"
"6",57,"Florida"
"7",2305,"Kansas"
"8",26,"UCLA"
"9",251,"Texas"
"10",275,"Wisconsin"
"11",2633,"Tennessee"
"12",2752,"Xavier"
"13",259,"Virginia Tech"
"14",258,"Virginia"
"15",9,"Arizona St"
"16",183,"Syracuse"
"17",145,"Ole Miss"
"18",248,"Houston"
"19",2287,"Illinois St"
"20",97,"Louisville"
"21",98,"Western KY"
"22",46,"Georgetown"
"23",222,"Villanova"
"24",221,"Pitt"
"25",24,"Stanford"
"26",265,"Washington St"
"27",150,"Duke"
"28",113,"UMass"
"29",228,"Clemson"
"30",84,"Indiana"
"31",344,"Mississippi St"
"32",238,"Vanderbilt"
"33",201,"Oklahoma"
"34",41,"UConn"
"35",2086,"Butler"
"36",2181,"Drake"
"37",2390,"Miami"
"38",2250,"Gonzaga"
"39",277,"West Virginia"
"40",87,"Notre Dame"
"41",252,"BYU"
"42",30,"USC"
"43",2509,"Purdue"
"44",2439,"UNLV"
"45",269,"Marquette"
"46",127,"Michigan St"
"47",25,"California"
"48",158,"Nebraska"
"49",2638,"UTEP"
"50",264,"Washington"
"51",2670,"VCU"
"52",2168,"Dayton"
"53",156,"Creighton"
"54",135,"Minnesota"
"55",79,"S Illinois"
"56",52,"Florida St"
"57",2440,"Nevada"
"58",2154,"Coppin St"
"59",295,"Old Dominion"
"60",195,"Ohio"
"61",8,"Arkansas"
"62",2466,"N'Western St"
"63",2239,"Fullerton"
"64",166,"New Mexico St"
"65",2415,"Morgan St"
"66",2400,"Miss Valley St"
"67",2309,"Kent State"
"68",218,"Temple"
"69",2736,"Win Salem"
"70",96,"Kentucky"
"71",2378,"UMBC"
"72",2463,"CSU Northridge"
"73",2617,"SF Austin"
"74",2306,"Kansas St"
"75",2011,"Alabama St"
"76",2540,"UCSB"
"77",2450,"Norfolk St"
"78",328,"Utah State"
"79",2711,"W Michigan"
"80",2534,"Sam Houston"
"81",44,"American"
"82",279,"Pacific"
"83",167,"New Mexico"
"84",2545,"SE Louisiana"
"85",2116,"UCF"
"86",245,"Texas A&M"
"87",120,"Maryland"
"88",2296,"Jackson St"
"89",2169,"Delaware St"
"90",59,"Georgia Tech"
"91",21,"San Diego St"
"92",2010,"Alabama A&M"
"93",239,"Baylor"
"94",2006,"Akron"
"95",257,"Richmond"
"96",213,"Penn State"
"97",68,"Boise St"
"98",2320,"Lamar"
"99",99,"LSU"
"100",5,"UAB"
"101",2641,"Texas Tech"
"102",2294,"Iowa"
"103",154,"Wake Forest"
"104",13,"Cal Poly"
"105",12,"Arizona"
"106",2572,"Southern Miss"
"107",2261,"Hampton"
"108",2502,"Portland St"
"109",2429,"Charlotte"
"110",300,"UC Irvine"
"111",193,"Miami OH"
"112",2529,"Sacred Heart"
"113",276,"Marshall"
"114",2325,"La Salle"
"115",2649,"Toledo"
"116",2117,"C Michigan"
"117",50,"FAMU"
"118",2603,"Saint Joseph's"
"119",2751,"Wyoming"
"120",2199,"E Michigan"
"121",23,"San José St"
"122",2569,"SC State"
"123",2464,"N Arizona"
"124",198,"Oral Roberts"
"125",163,"Princeton"
"126",2031,"Little Rock"
"127",85,"IUPUI"
"128",2166,"Davidson"
"129",6,"South Alabama"
"130",2561,"Siena"
"131",2244,"George Mason"
"132",2608,"Saint Mary's"
"133",2473,"Oakland"
"134",232,"Charleston"
"135",2520,"Rider"
"136",253,"Southern Utah"
"137",2681,"Wagner"
"138",350,"UNC Wilmington"
"139",130,"Michigan"
"140",2393,"MTSU"
"141",2523,"Robert Morris"
"142",42,"Hartford"
"143",2550,"Seton Hall"
"144",2142,"Colgate"
"145",301,"San Diego"
"146",2483,"Oregon"
"147",70,"Idaho"
"148",278,"Fresno St"
"149",27,"UC Riverside"
"150",315,"Niagara"
"151",290,"Georgia So"
"152",2692,"Weber St"
"153",2541,"Santa Clara"
"154",304,"Idaho St"
"155",2016,"Alcorn St"
"156",399,"Albany"
"157",2628,"TCU"
"158",2348,"Louisiana Tech"
"159",2507,"Providence"
"160",45,"G Washington"
"161",299,"Long Beach St"
"162",58,"South Florida"
"163",2655,"Tulane"
"164",2057,"Belmont"
"165",236,"Chattanooga"
"166",227,"Rhode Island"
"167",219,"Penn"
"168",159,"Dartmouth"
"169",108,"Harvard"
"170",2447,"Nicholls"
"171",204,"Oregon St"
"172",36,"Colorado St"
"173",2582,"Southern"
"174",2046,"Austin Peay"
"175",326,"Texas St"
"176",325,"Cleveland St"
"177",2026,"Appalachian St"
"178",2184,"Duquesne"
"179",66,"Iowa State"
"180",61,"Georgia"
"181",103,"Boston College"
"182",77,"Northwestern"
"183",2636,"UTSA"
"184",2005,"Air Force"
"185",242,"Rice"
"186",261,"Vermont"
"187",2352,"Loyola MD"
"188",333,"Alabama"
"189",357,"Texas A&M-CC"
"190",2230,"Fordham"
"191",356,"Illinois"
"192",2599,"St John's"
"193",2427,"UNC Asheville"
"194",2492,"Pepperdine"
"195",314,"Iona"
"196",2539,"San Francisco"
"197",93,"Murray St"
"198",111,"Northeastern"
"199",82,"UIC"
"200",2363,"Manhattan"
"201",2619,"Stony Brook"
"202",294,"Jacksonville"
"203",2750,"Wright St"
"204",48,"Delaware"
"205",2210,"Elon"
"206",2747,"Wofford"
"207",2729,"William & Mary"
"208",2275,"Hofstra"
"209",2623,"Missouri St"
