X1,Team ID
Centenary,2113
Northwestern St.,2466
St. Thomas,2900
USC Upstate,2908
Western Kentucky,98
Jacksonville,294
LIU,112358
Utah Tech,3101
Utah Valley,3084
Cal St. Bakersfield,2934
Incarnate Word,2916
NJIT,2885
Purdue Fort Wayne,2870
Cal Baptist,2856
East Texas A&M,2837
Lindenwood,2815
Bryant,2803
Merrimack,2771
Grambling St.,2755
Youngstown St.,2754
Xavier,2752
Wyoming,2751
Wright St.,2750
Wofford,2747
Green Bay,2739
Winthrop,2737
Winston Salem St.,2736
William & Mary,2729
Wichita St.,2724
Western Carolina,2717
Western Michigan,2711
Western Illinois,2710
West Georgia,2698
Weber St.,2692
Wagner,2681
VMI,2678
Valparaiso,2674
VCU,2670
Tulane,2655
Troy,2653
Toledo,2649
The Citadel,2643
Texas Tech,2641
Texas Southern,2640
UTEP,2638
UTSA,2636
Tennessee Tech,2635
Tennessee St.,2634
Tennessee,2633
Tennessee Martin,2630
TCU,2628
Tarleton St.,2627
Missouri St.,2623
Stony Brook,2619
Stephen F. Austin,2617
Saint Peter's,2612
Saint Mary's,2608
Saint Joseph's,2603
St. John's,2599
Saint Francis,2598
St. Francis NY,2597
Southern,2582
South Carolina,2579
Southern Miss,2572
South Dakota St.,2571
South Carolina St.,2569
SMU,2567
SIU Edwardsville,2565
Siena,2561
Seton Hall,2550
Seattle,2547
Southeast Missouri St.,2546
Southeastern Louisiana,2545
Savannah St.,2542
Santa Clara,2541
UC Santa Barbara,2540
San Francisco,2539
Samford,2535
Sam Houston St.,2534
Sacred Heart,2529
Robert Morris,2523
Rider,2520
Radford,2515
Quinnipiac,2514
Queens,2511
Purdue,2509
Providence,2507
Presbyterian,2506
Prairie View A&M,2504
Portland St.,2502
Portland,2501
Pepperdine,2492
Oregon,2483
Oakland,2473
Northern Arizona,2464
Cal St. Northridge,2463
Northern Iowa,2460
Northern Illinois,2459
Northern Colorado,2458
North Florida,2454
North Alabama,2453
Norfolk St.,2450
North Dakota St.,2449
North Carolina A&T,2448
Nicholls St.,2447
New Orleans,2443
New Haven,2441
Nevada,2440
UNLV,2439
Nebraska Omaha,2437
Louisiana Monroe,2433
UNC Greensboro,2430
Charlotte,2429
North Carolina Central,2428
UNC Asheville,2427
Navy,2426
Morgan St.,2415
Morehead St.,2413
Monmouth,2405
Mississippi Valley St.,2400
Middle Tennessee,2393
