"","season","team_id","team_name"
"1",2008,235,"Memphis"
"2",2008,153,"North Carolina"
"3",2008,2305,"Kansas"
"4",2008,26,"UCLA"
"5",2008,251,"Texas"
"6",2008,275,"Wisconsin"
"7",2008,2633,"Tennessee"
"8",2008,2752,"Xavier"
"9",2008,97,"Louisville"
"10",2008,98,"Western KY"
"11",2008,46,"Georgetown"
"12",2008,222,"Villanova"
"13",2008,221,"Pitt"
"14",2008,24,"Stanford"
"15",2008,265,"Washington St"
"16",2008,150,"Duke"
"17",2008,228,"Clemson"
"18",2008,84,"Indiana"
"19",2008,344,"Mississippi St"
"20",2008,238,"Vanderbilt"
"21",2008,201,"Oklahoma"
"22",2008,41,"UConn"
"23",2008,2086,"Butler"
"24",2008,2181,"Drake"
"25",2008,2390,"Miami"
"26",2008,2250,"Gonzaga"
"27",2008,277,"West Virginia"
"28",2008,87,"Notre Dame"
"29",2008,252,"BYU"
"30",2008,30,"USC"
"31",2008,2509,"Purdue"
"32",2008,2439,"UNLV"
"33",2008,269,"Marquette"
"34",2008,127,"Michigan St"
"35",2009,153,"North Carolina"
"36",2009,41,"UConn"
"37",2009,97,"Louisville"
"38",2009,221,"Pitt"
"39",2009,127,"Michigan St"
"40",2009,201,"Oklahoma"
"41",2009,150,"Duke"
"42",2009,235,"Memphis"
"43",2009,142,"Missouri"
"44",2009,12,"Arizona"
"45",2009,2305,"Kansas"
"46",2009,2752,"Xavier"
"47",2009,183,"Syracuse"
"48",2009,2250,"Gonzaga"
"49",2009,264,"Washington"
"50",2009,222,"Villanova"
"51",2009,52,"Florida St"
"52",2009,154,"Wake Forest"
"53",2009,194,"Ohio State"
"54",2009,103,"Boston College"
"55",2009,254,"Utah"
"56",2009,277,"West Virginia"
"57",2009,9,"Arizona St"
"58",2009,269,"Marquette"
"59",2009,197,"Oklahoma St"
"60",2009,356,"Illinois"
"61",2009,26,"UCLA"
"62",2009,228,"Clemson"
"63",2009,251,"Texas"
"64",2009,25,"California"
"65",2009,2509,"Purdue"
"66",2009,252,"BYU"
"67",2009,99,"LSU"
"68",2009,2011,"Alabama St"
"69",2010,150,"Duke"
"70",2010,127,"Michigan St"
"71",2010,96,"Kentucky"
"72",2010,2306,"Kansas St"
"73",2010,239,"Baylor"
"74",2010,194,"Ohio State"
"75",2010,277,"West Virginia"
"76",2010,183,"Syracuse"
"77",2010,2509,"Purdue"
"78",2010,221,"Pitt"
"79",2010,275,"Wisconsin"
"80",2010,120,"Maryland"
"81",2010,167,"New Mexico"
"82",2010,2305,"Kansas"
"83",2010,2633,"Tennessee"
"84",2010,2086,"Butler"
"85",2010,222,"Villanova"
"86",2010,25,"California"
"87",2010,197,"Oklahoma St"
"88",2010,2250,"Gonzaga"
"89",2010,245,"Texas A&M"
"90",2010,228,"Clemson"
"91",2010,218,"Temple"
"92",2010,2752,"Xavier"
"93",2010,251,"Texas"
"94",2010,269,"Marquette"
"95",2010,46,"Georgetown"
"96",2010,2439,"UNLV"
"97",2010,257,"Richmond"
"98",2010,238,"Vanderbilt"
"99",2010,87,"Notre Dame"
"100",2010,252,"BYU"
"101",2010,2029,"AR-Pine Bluff"
"102",2011,41,"UConn"
"103",2011,2086,"Butler"
"104",2011,153,"North Carolina"
"105",2011,2305,"Kansas"
"106",2011,57,"Florida"
"107",2011,52,"Florida St"
"108",2011,194,"Ohio State"
"109",2011,275,"Wisconsin"
"110",2011,150,"Duke"
"111",2011,21,"San Diego St"
"112",2011,87,"Notre Dame"
"113",2011,183,"Syracuse"
"114",2011,2509,"Purdue"
"115",2011,251,"Texas"
"116",2011,252,"BYU"
"117",2011,221,"Pitt"
"118",2011,257,"Richmond"
"119",2011,96,"Kentucky"
"120",2011,264,"Washington"
"121",2011,46,"Georgetown"
"122",2011,2439,"UNLV"
"123",2011,2752,"Xavier"
"124",2011,245,"Texas A&M"
"125",2011,12,"Arizona"
"126",2011,2244,"George Mason"
"127",2011,130,"Michigan"
"128",2011,2306,"Kansas St"
"129",2011,2599,"St John's"
"130",2011,2132,"Cincinnati"
"131",2011,26,"UCLA"
"132",2011,238,"Vanderbilt"
"133",2011,218,"Temple"
"134",2011,97,"Louisville"
"135",2011,277,"West Virginia"
"136",2011,30,"USC"
"137",2011,2011,"Alabama St"
"138",2011,5,"UAB"
"139",2011,2031,"Little Rock"
"140",2012,96,"Kentucky"
"141",2012,2305,"Kansas"
"142",2012,153,"North Carolina"
"143",2012,183,"Syracuse"
"144",2012,97,"Louisville"
"145",2012,239,"Baylor"
"146",2012,269,"Marquette"
"147",2012,194,"Ohio State"
"148",2012,127,"Michigan St"
"149",2012,52,"Florida St"
"150",2012,2752,"Xavier"
"151",2012,58,"South Florida"
"152",2012,57,"Florida"
"153",2012,46,"Georgetown"
"154",2012,84,"Indiana"
"155",2012,275,"Wisconsin"
"156",2012,87,"Notre Dame"
"157",2012,218,"Temple"
"158",2012,2608,"Saint Mary's"
"159",2012,130,"Michigan"
"160",2012,150,"Duke"
"161",2012,235,"Memphis"
"162",2012,142,"Missouri"
"163",2012,156,"Creighton"
"164",2012,21,"San Diego St"
"165",2012,2132,"Cincinnati"
"166",2012,2439,"UNLV"
"167",2012,66,"Iowa State"
"168",2012,2250,"Gonzaga"
"169",2012,2724,"Wichita St"
"170",2012,238,"Vanderbilt"
"171",2012,167,"New Mexico"
"172",2012,2306,"Kansas St"
"173",2012,93,"Murray St"
"174",2012,25,"California"
"175",2012,2320,"Lamar"
"176",2012,252,"BYU"
"177",2012,2400,"Miss Valley St"
"178",2013,97,"Louisville"
