season,team_id,team_name,womens_team_tourney_flag
2008,44,American,
2008,12,Arizona,
2008,8,Arkansas,
2008,2046,Austin Peay,
2008,239,Baylor,1
2008,2057,Belmont,
2008,68,Boise St,
2008,2086,Butler,
2008,252,BYU,
2008,228,Clemson,
2008,172,Cornell,1
2008,2166,Davidson,
2008,2181,Drake,
2008,150,Duke,
2008,2239,Fullerton,
2008,2244,George Mason,
2008,46,Georgetown,
2008,61,Georgia,1
2008,2250,Gonzaga,
2008,84,Indiana,
2008,2305,Kansas,
2008,2306,Kansas St,1
2008,2309,Kent State,
2008,96,Kentucky,
2008,97,Louisville,1
2008,269,Marquette,
2008,235,Memphis,
2008,2390,Miami,
2008,127,Michigan St,
2008,2400,Miss Valley St,
2008,344,Mississippi St,
2008,116,Mount St Mary,
2008,153,North Carolina,1
2008,87,Notre Dame,1
2009,2006,Akron,
2009,2011,Alabama St,
2009,44,American,
2009,12,Arizona,
2009,9,Arizona St,1
2009,2066,Binghamton,
2009,103,Boston College,
2009,2086,Butler,
2009,252,BYU,
2009,25,California,1
2009,236,Chattanooga,
2009,228,Clemson,
2009,325,Cleveland St,
2009,172,Cornell,
2009,2463,CSU Northridge,
2009,2168,Dayton,
2009,150,Duke,1
2009,2193,ETSU,1
2009,52,Florida St,1
2009,2250,Gonzaga,1
2009,356,Illinois,
2009,2305,Kansas,
2009,97,Louisville,1
2009,99,LSU,1
2009,269,Marquette,
2009,120,Maryland,1
2009,235,Memphis,
2009,130,Michigan,
2009,127,Michigan St,1
2009,135,Minnesota,1
2009,344,Mississippi St,1
2009,142,Missouri,
2009,2413,Morehead St,
2009,2415,Morgan St,
2010,2029,AR-Pine Bluff,
2010,239,Baylor,1
2010,2086,Butler,
2010,252,BYU,
2010,25,California,
2010,228,Clemson,
2010,172,Cornell,
2010,150,Duke,1
2010,2193,ETSU,1
2010,57,Florida,
2010,52,Florida St,1
2010,46,Georgetown,1
2010,59,Georgia Tech,1
2010,2250,Gonzaga,1
2010,248,Houston,
2010,2305,Kansas,
2010,2306,Kansas St,
2010,96,Kentucky,1
2010,2329,Lehigh,1
2010,97,Louisville,
2010,269,Marquette,
2010,120,Maryland,
2010,127,Michigan St,1
2010,135,Minnesota,
2010,142,Missouri,
2010,149,Montana,
2010,2415,Morgan St,
2010,93,Murray St,
2010,167,New Mexico,
2010,166,New Mexico St,
2010,249,North Texas,
2010,2460,Northern Iowa,1
2010,87,Notre Dame,1
2011,2006,Akron,
2011,2011,Alabama St,
2011,12,Arizona,
2011,2057,Belmont,
2011,104,Boston Univ,
2011,2083,Bucknell,
2011,2086,Butler,
2011,252,BYU,
2011,2132,Cincinnati,
2011,228,Clemson,
2011,150,Duke,1
2011,57,Florida,
2011,52,Florida St,1
2011,2244,George Mason,
2011,46,Georgetown,1
2011,61,Georgia,1
2011,2250,Gonzaga,1
2011,2261,Hampton,1
2011,356,Illinois,
2011,282,Indiana St,
2011,2305,Kansas,
2011,2306,Kansas St,1
2011,96,Kentucky,1
2011,2031,Little Rock,1
2011,112358,Long Island,
2011,97,Louisville,1
2011,269,Marquette,1
2011,235,Memphis,
2011,130,Michigan,
2011,127,Michigan St,1
2011,142,Missouri,
2011,2413,Morehead St,
2011,2458,N Colorado,
2011,153,North Carolina,1
2011,87,Notre Dame,1
2011,2473,Oakland,
2011,194,Ohio State,1
2011,295,Old Dominion,
2012,333,Alabama,
2012,239,Baylor,1
2012,2057,Belmont,
2012,252,BYU,1
2012,25,California,1
2012,2132,Cincinnati,
2012,38,Colorado,
2012,36,Colorado St,
2012,156,Creighton,1
2012,2166,Davidson,
2012,2174,Detroit Mercy,
2012,150,Duke,1
2012,57,Florida,1
2012,52,Florida St,
2012,46,Georgetown,1
2012,2250,Gonzaga,1
2012,108,Harvard,
2012,84,Indiana,
2012,314,Iona,
2012,66,Iowa State,1
2012,2305,Kansas,1
2012,2306,Kansas St,1
2012,96,Kentucky,1
2012,2320,Lamar,
2012,2329,Lehigh,
2012,299,Long Beach St,
2012,112358,Long Island,
2012,97,Louisville,1
2012,2352,Loyola MD,
2012,269,Marquette,
2012,235,Memphis,
2012,130,Michigan,1
2012,127,Michigan St,1
2012,2400,Miss Valley St,
2012,142,Missouri,
2012,149,Montana,
2012,93,Murray St,
2012,152,NC State,
2013,2006,Akron,
2013,399,Albany,1
2013,12,Arizona,
2013,2057,Belmont,
2013,68,Boise St,
2013,2083,Bucknell,
2013,2086,Butler,
2013,25,California,1
2013,2132,Cincinnati,
2013,38,Colorado,1
2013,36,Colorado St,
2013,156,Creighton,1
2013,2166,Davidson,
2013,150,Duke,1
2013,526,FGCU,
2013,57,Florida,
2013,46,Georgetown,
2013,2250,Gonzaga,1
2013,108,Harvard,
2013,356,Illinois,
2013,84,Indiana,
2013,314,Iona,
2013,66,Iowa State,1
2013,256,James Madison,
2013,2305,Kansas,1
2013,2306,Kansas St,
2013,2325,La Salle,
2013,2335,Liberty,1
2013,112358,Long Island,
2013,97,Louisville,1
2013,269,Marquette,
2013,235,Memphis,
2013,2390,Miami,1
2013,130,Michigan,1
2013,127,Michigan St,1
2013,135,Minnesota,
2013,142,Missouri,
2013,149,Montana,1
2014,399,Albany,1
2014,44,American,
2014,12,Arizona,
2014,9,Arizona St,1
2014,239,Baylor,1
2014,252,BYU,1
2014,13,Cal Poly,
2014,2132,Cincinnati,
2014,324,Coast Car,
2014,38,Colorado,
2014,156,Creighton,
2014,2168,Dayton,1
2014,48,Delaware,
2014,150,Duke,1
2014,2198,E Kentucky,
2014,57,Florida,1
2014,45,G Washington,
2014,2250,Gonzaga,1
2014,108,Harvard,
2014,2294,Iowa,1
2014,66,Iowa State,1
2014,2305,Kansas,
2014,2306,Kansas St,
2014,96,Kentucky,1
2014,309,Louisiana,
2014,97,Louisville,1
2014,2363,Manhattan,
2014,235,Memphis,
2014,2382,Mercer,
2014,130,Michigan,
2014,127,Michigan St,1
2014,270,Milwaukee,
